iter	Passed	Remaining
867	24663	3750
868	24691	3722
869	24717	3693
870	24745	3665
871	24774	3636
872	24799	3607
873	24825	3578
874	24850	3550
875	24877	3521
876	24904	3492
877	24934	3464
878	24963	3436
879	24991	3407
880	25020	3379
881	25047	3351
882	25079	3323
883	25107	3294
884	25135	3266
885	25162	3237
886	25189	3209
887	25217	3180
888	25244	3152
889	25272	3123
890	25298	3094
891	25325	3066
892	25352	3037
893	25379	3009
894	25407	2980
895	25436	2952
896	25465	2924
897	25492	2895
898	25519	2866
899	25548	2838
900	25575	2810
901	25602	2781
902	25629	2753
903	25657	2724
904	25686	2696
905	25714	2667
906	25743	2639
907	25770	2611
908	25797	2582
909	25823	2553
910	25849	2525
911	25875	2496
912	25902	2468
913	25929	2439
914	25958	2411
915	25988	2383
916	26014	2354
917	26042	2326
918	26071	2297
919	26100	2269
920	26128	2241
921	26156	2212
922	26184	2184
923	26213	2156
924	26242	2127
925	26272	2099
926	26300	2071
927	26329	2042
928	26355	2014
929	26382	1985
930	26411	1957
931	26439	1929
932	26466	1900
933	26494	1872
934	26521	1843
935	26550	1815
936	26577	1786
937	26604	1758
938	26631	1730
939	26658	1701
940	26685	1673
941	26710	1644
942	26736	1616
943	26762	1587
944	26789	1559
945	26817	1530
946	26845	1502
947	26871	1473
948	26901	1445
949	26929	1417
950	26959	1389
951	26986	1360
952	27012	1332
953	27040	1303
954	27067	1275
955	27095	1247
956	27124	1218
957	27156	1190
958	27185	1162
959	27213	1133
960	27241	1105
961	27269	1077
962	27296	1048
963	27320	1020
964	27345	991
965	27378	963
966	27404	935
967	27430	906
968	27457	878
969	27485	850
970	27511	821
971	27540	793
972	27567	764
973	27595	736
974	27622	708
975	27659	680
976	27685	651
977	27712	623
978	27739	595
979	27766	566
980	27794	538
981	27822	509
982	27850	481
983	27877	453
984	27903	424
985	27932	396
986	27963	368
987	27992	339
988	28019	311
989	28047	283
990	28074	254
991	28102	226
992	28131	198
993	28158	169
994	28184	141
995	28212	113
996	28239	84
997	28271	56
998	28301	28
999	28330	0
