iter	RMSE
247	22464.53009
248	22405.73202
249	22357.66627
250	22305.94733
251	22231.40103
252	22176.85549
253	22167.59904
254	22102.16438
255	22050.14234
256	22026.30495
257	21967.11734
258	21926.2995
259	21911.8342
260	21851.11826
261	21848.88785
262	21758.88374
263	21749.46513
264	21737.72929
265	21727.52057
266	21620.84353
267	21560.7474
268	21502.52152
269	21495.40572
270	21468.75555
271	21432.42115
272	21394.7271
273	21368.03338
274	21360.37959
275	21341.71054
276	21244.69209
277	21218.8319
278	21136.06778
279	21038.77225
280	21007.44222
281	20966.57866
282	20924.59743
283	20899.72147
284	20839.2011
285	20831.86368
286	20822.67391
287	20782.42401
288	20750.4037
289	20733.19106
290	20704.93297
291	20665.94097
292	20615.45085
293	20599.03356
294	20562.98482
295	20494.91305
296	20462.94878
297	20417.75174
298	20393.36793
299	20370.173
300	20360.89986
301	20286.20498
302	20251.97283
303	20237.13219
304	20165.6701
305	20083.98132
306	20053.09155
307	20039.07109
308	20008.23875
309	19997.84631
310	19969.42841
311	19904.20308
312	19820.54044
313	19774.82881
314	19759.73667
315	19714.95437
316	19644.39545
317	19622.1515
318	19594.63014
319	19555.45242
320	19538.31269
321	19507.28305
322	19431.41308
323	19425.04274
324	19407.31919
325	19350.08285
326	19330.64137
327	19309.33305
328	19263.46122
329	19235.80055
330	19202.24858
331	19184.82929
332	19128.32776
333	19111.42313
334	19092.83197
335	19023.94254
336	19008.60507
337	18921.594
338	18890.10343
339	18880.29479
340	18767.46602
341	18746.08718
342	18675.84763
343	18639.46029
344	18573.71517
345	18526.43065
346	18518.71784
347	18465.72518
348	18400.63562
349	18368.13697
350	18351.48475
351	18313.98048
352	18251.65919
353	18226.68522
354	18190.65965
355	18168.85063
356	18152.91386
357	18138.72961
358	18130.38756
359	18078.73268
360	18067.14817
361	17997.61882
362	17991.84931
363	17987.95038
364	17980.90877
365	17960.17538
366	17944.39651
367	17920.37105
368	17894.25057
369	17881.48887
370	17841.70989
371	17806.96477
372	17756.0339
373	17725.28806
374	17655.05669
375	17606.66508
376	17564.00006
377	17560.30426
378	17532.75769
379	17517.34678
380	17465.98838
381	17417.71401
382	17379.73982
383	17344.55957
384	17322.3019
385	17285.92365
386	17250.0599
387	17199.66866
388	17189.49762
389	17173.92683
390	17115.08781
391	17069.0458
392	17025.90876
393	17008.3913
394	16987.48822
395	16977.59617
396	16973.81515
397	16967.3879
398	16965.50131
399	16910.47641
400	16892.41452
401	16865.82034
402	16857.35635
403	16805.25956
404	16775.80876
405	16702.64244
406	16632.52369
407	16574.56767
408	16562.49778
409	16556.23453
410	16544.64342
411	16507.64674
412	16464.22901
413	16370.05293
414	16368.74448
415	16314.84996
416	16300.1764
417	16274.75547
418	16273.04143
419	16232.73601
420	16214.74504
421	16188.19316
422	16181.37272
423	16097.54885
424	16055.22899
425	16023.72388
426	16005.83021
427	15996.84002
428	15957.55455
429	15945.57481
430	15923.92281
431	15908.97824
432	15898.91563
433	15845.89437
434	15835.78495
435	15800.2328
436	15764.03877
437	15744.87334
438	15712.70217
439	15711.8737
440	15691.78914
441	15682.22982
442	15660.23768
443	15641.86044
444	15592.7928
445	15578.39023
446	15567.95055
447	15474.35157
448	15464.21325
449	15444.75262
450	15422.66229
451	15374.12522
452	15349.98868
453	15346.01565
454	15340.69034
455	15330.99412
456	15316.4604
457	15255.00951
458	15246.02534
459	15237.23887
460	15233.9939
461	15232.67761
462	15212.6402
463	15202.91624
464	15167.80397
465	15165.3683
466	15136.80983
467	15121.72452
468	15087.62174
469	15050.82557
470	15025.42495
471	15017.52706
472	15002.501
473	15000.29945
474	14982.13251
475	14962.05838
476	14932.08593
477	14929.34368
478	14914.92167
479	14879.70542
480	14834.77542
481	14829.35229
482	14804.98018
483	14794.78888
484	14785.03392
485	14780.01787
486	14760.94495
487	14731.62123
488	14706.26067
489	14695.2039
490	14678.09866
491	14665.30647
492	14653.05605
493	14633.45746
494	14625.24337
495	14608.19302
496	14598.3543
497	14582.42121
498	14529.42037
499	14497.1456
500	14451.39547
501	14435.52152
502	14404.53519
503	14396.44826
504	14375.78996
505	14310.48322
506	14299.3651
507	14263.77426
508	14223.55287
509	14195.02894
510	14156.11178
511	14143.28651
512	14129.66681
513	14113.25453
514	14107.94834
515	14099.53813
516	14082.82201
517	14010.57204
518	13992.3033
519	13965.72084
520	13958.22105
521	13947.18437
522	13929.92371
523	13906.52885
524	13894.26467
525	13879.21009
526	13850.62904
527	13816.64607
528	13799.57015
529	13747.99641
530	13745.98493
531	13735.11457
532	13708.92788
533	13682.50295
534	13634.06876
535	13586.0257
536	13571.53798
537	13530.03164
538	13503.67755
539	13491.41625
540	13448.5365
541	13438.61329
542	13431.65835
543	13424.36754
544	13397.29099
545	13389.82656
546	13363.25501
547	13352.40161
548	13341.4776
549	13340.53059
550	13329.13437
551	13312.05615
552	13306.74318
553	13249.00571
554	13240.84464
555	13225.91925
556	13164.80432
557	13132.73658
558	13123.98423
559	13102.788
560	13094.57368
561	13071.2393
562	13052.23839
563	13039.81467
564	13024.96358
565	13022.31024
566	13011.54663
567	13009.1944
568	12967.95559
569	12952.4934
570	12949.05566
571	12945.53994
572	12939.58004
573	12929.00534
574	12926.53685
575	12913.39165
576	12892.61772
577	12888.56272
578	12859.71408
579	12839.31946
580	12829.81264
581	12818.05463
582	12776.37734
583	12757.7039
584	12745.56624
585	12738.39316
586	12729.27658
587	12724.09704
588	12705.18479
589	12692.37576
590	12662.79784
591	12633.10887
592	12616.23471
593	12598.10214
594	12535.46491
595	12501.95167
596	12471.71501
597	12463.35082
598	12452.59868
599	12393.91942
600	12387.31342
601	12376.99404
602	12370.82987
603	12349.33169
604	12332.90796
605	12332.08259
606	12298.91983
607	12293.67718
608	12284.92095
609	12253.55762
610	12220.11646
611	12201.36968
612	12148.52329
613	12130.27653
614	12119.32877
615	12081.92782
616	12061.98558
617	12055.43666
618	12039.67654
619	12004.86016
620	11951.28455
621	11908.36722
622	11877.96185
623	11862.77769
624	11839.6624
625	11788.62473
626	11754.57344
627	11731.00342
628	11727.91912
629	11723.16637
630	11708.88504
631	11697.54337
632	11690.46515
633	11671.39607
634	11657.74399
635	11625.27491
636	11594.82252
637	11584.00471
638	11567.48619
639	11544.77253
640	11536.35613
641	11530.04689
642	11519.20923
643	11517.74224
644	11494.3447
645	11492.47293
646	11461.35802
647	11452.07914
648	11415.84034
649	11405.14703
650	11402.5723
651	11387.07268
652	11378.87001
653	11370.83393
654	11368.53755
655	11355.08488
656	11301.56081
657	11276.1702
658	11268.29281
659	11262.15401
660	11248.47532
661	11233.79854
662	11197.73845
663	11188.46291
664	11172.43574
665	11164.89167
666	11156.67007
667	11148.3803
668	11135.27865
669	11110.66387
670	11107.56552
671	11074.34107
672	11068.35373
673	11044.04088
674	11032.63841
675	11019.31318
676	11007.68344
677	10979.14407
678	10976.1991
679	10952.36625
680	10918.40708
681	10907.99966
682	10887.32223
683	10884.29512
684	10848.01367
685	10822.88802
686	10806.67766
687	10800.09512
688	10778.52115
689	10759.25881
690	10744.46209
691	10741.80146
692	10725.1334
693	10709.9601
694	10695.21772
695	10664.39148
696	10630.77978
697	10602.99536
698	10592.5613
699	10571.28898
700	10534.60869
701	10517.15789
702	10505.36157
703	10489.79898
704	10479.58893
705	10448.3346
706	10424.84219
707	10415.82858
708	10403.41103
709	10399.42831
710	10387.57595
711	10366.26319
712	10342.40573
713	10337.14846
714	10324.12179
715	10319.25741
716	10307.01287
717	10302.28272
718	10289.025
719	10281.82365
720	10276.54621
721	10273.00891
722	10266.57126
723	10229.43922
724	10214.91161
725	10201.54335
726	10179.28582
727	10162.3506
728	10142.64324
729	10121.67906
730	10113.55175
731	10102.56074
732	10092.14261
733	10087.02602
734	10077.26432
735	10058.66706
736	10057.06674
737	10046.65511
738	10026.46534
739	9999.363437
740	9989.580578
741	9983.242426
742	9974.979257
743	9947.425173
744	9939.00821
745	9934.069882
746	9914.527168
747	9913.260792
748	9906.145246
749	9896.789759
750	9892.573331
751	9872.597286
752	9857.275204
753	9839.988517
754	9829.689593
755	9819.90288
756	9798.407982
757	9795.898863
758	9780.180085
759	9768.261303
760	9766.97381
761	9766.501957
762	9750.668793
763	9743.161682
764	9725.940539
765	9714.416966
766	9692.158653
767	9680.71131
768	9667.901162
769	9661.713923
770	9643.71284
771	9640.546266
772	9623.264473
773	9583.993732
774	9563.348371
775	9561.341205
776	9558.140408
777	9539.943571
778	9527.955389
779	9515.95359
780	9504.442927
781	9495.820517
782	9466.239816
783	9431.067121
784	9422.167389
785	9414.21369
786	9403.689267
787	9383.77934
788	9368.175713
789	9352.837014
790	9334.57129
791	9302.52594
792	9291.848534
793	9288.696038
794	9287.107656
795	9284.489508
796	9278.116816
797	9272.827182
798	9259.9049
799	9250.250614
800	9248.688756
801	9240.000079
802	9224.887394
803	9211.590816
804	9202.546197
805	9198.787067
806	9192.695118
807	9188.638899
808	9182.160428
809	9180.781156
810	9164.12445
811	9155.198341
812	9148.553141
813	9127.999848
814	9121.272199
815	9111.910482
816	9110.371618
817	9092.419431
818	9089.042
819	9061.923671
820	9040.511373
821	9022.404104
822	8994.414392
823	8967.571665
824	8951.986509
825	8932.980423
826	8908.330546
827	8903.747176
828	8896.253672
829	8872.472322
830	8864.281041
831	8847.125832
832	8846.90848
833	8831.150903
834	8824.919577
835	8800.24368
836	8784.229209
837	8776.52947
838	8770.149908
839	8753.096397
840	8740.536926
841	8732.134963
842	8718.344521
843	8704.232305
844	8688.827388
845	8686.051669
846	8675.062713
847	8658.662341
848	8650.355665
849	8632.873642
850	8621.704206
851	8609.016811
852	8584.341934
853	8578.898258
854	8568.57652
855	8552.812709
856	8533.767162
857	8530.898859
858	8528.766318
859	8521.318105
860	8509.441393
861	8494.546655
862	8490.639696
863	8485.212104
864	8466.265941
865	8460.556017
866	8448.701045
867	8437.913974
868	8426.926784
869	8425.608217
870	8415.616456
871	8409.353791
872	8406.917633
873	8404.704994
874	8399.954137
875	8396.219482
876	8380.80988
877	8380.556078
878	8362.765922
879	8361.861664
880	8349.525069
881	8329.321967
882	8304.087276
883	8285.438312
884	8278.732156
885	8270.755026
886	8266.215587
887	8255.929389
888	8242.215324
889	8233.799584
890	8212.791524
891	8203.73101
892	8199.469905
893	8169.584679
894	8166.413012
895	8155.643261
896	8155.205638
897	8145.008906
898	8143.26154
899	8139.594839
900	8134.081382
901	8132.580299
902	8120.296808
903	8114.602023
904	8078.920538
905	8071.821633
906	8051.794306
907	8037.37665
908	8023.099683
909	8004.043622
910	7998.049658
911	7986.962278
912	7961.95884
913	7958.158365
914	7953.767552
915	7945.108251
916	7933.691094
917	7902.861959
918	7887.428429
919	7886.772345
920	7882.923104
921	7882.123631
922	7869.12796
923	7863.915681
924	7849.374899
925	7839.287734
926	7822.997777
927	7820.511415
928	7808.886629
929	7791.361621
930	7775.815086
931	7771.359753
932	7767.053156
933	7758.519376
934	7758.316291
935	7744.534327
936	7721.500075
937	7719.097456
938	7710.466759
939	7708.010425
940	7691.449278
941	7679.252616
942	7664.777375
943	7652.177667
944	7633.264003
945	7627.583007
946	7625.185552
947	7591.160563
948	7573.46599
949	7564.905106
950	7553.465321
951	7540.59259
952	7526.43964
953	7522.413085
954	7513.952705
955	7505.702174
956	7504.467785
957	7494.865197
958	7491.393239
959	7481.973982
960	7473.697228
961	7463.748995
962	7448.740637
963	7443.87257
964	7427.88738
965	7419.781146
966	7404.668662
967	7394.768363
968	7392.161643
969	7389.065471
970	7380.600555
971	7376.407732
972	7366.119165
973	7342.693378
974	7335.804667
975	7323.784332
976	7315.644659
977	7304.656627
978	7299.170856
979	7283.41327
980	7272.857452
981	7267.094316
982	7259.18046
983	7254.069597
984	7221.390688
985	7204.488759
986	7194.700243
987	7183.328829
988	7177.565373
989	7168.329905
990	7157.47978
991	7136.546131
992	7126.540115
993	7120.993004
994	7106.562141
995	7104.976738
996	7101.369885
997	7093.983324
998	7090.864582
999	7078.537379
